Page Name,Page Views,Onload (s),First Byte (s),Largest Contentful Paint (s),Interaction to Next Paint (s),Cumulative Layout Shift,LCP Time to First Byte (ms),LCP Resource Load Delay (ms),LCP Resource Load Time (ms),LCP Element Render Delay (ms),LCP Time to First Byte (%),LCP Resource Load Delay (%),LCP Resource Load Time (%),LCP Element Render Delay (%),INP Start (ms),INP Input Delay (ms),INP Next Paint Time (ms)
PDP,186418,4.5,0.66,4.46,0.3,1.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51404.0,0.0,0.0
PDP,211749,3.95,0.66,4.28,0.27,1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68574.0,0.0,0.0
PDP,583398,5.33,0.675,4.1850000000000005,0.3,0.7585,384.0,1428.0,82.0,98.5,17.0,41.0,3.5,10.0,36997.0,66.0,15410.5
PDP,134023,5.46,0.52,1.85,0.33,0.109,709.0,323.0,167.0,596.0,53.0,28.0,13.0,42.0,32694.0,137.0,33059.0
PDP,306015,4.23,0.64,4.42,0.26,1.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42533.0,0.0,0.0
PDP,147819,4.02,0.67,4.32,0.24,1.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52002.0,0.0,0.0
PDP,207567,4.2,0.65,4.38,0.28,1.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48821.0,0.0,0.0
PDP,176051,3.92,0.67,4.46,0.28,1.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59413.0,0.0,0.0
PDP,1018475,4.9350000000000005,0.645,3.82,0.31,0.7190000000000001,376.5,1178.0,84.0,198.0,21.0,40.0,4.5,17.0,32012.0,36.5,13224.5
PDP,469692,4.82,0.49,1.74,0.3,0.103,675.0,312.0,142.0,598.0,52.0,28.0,12.0,43.0,31671.0,67.0,32126.0
PDP,1009559,4.949999999999999,0.645,3.7249999999999996,0.29500000000000004,0.7230000000000001,372.5,1131.0,86.5,200.5,21.0,39.5,5.0,17.0,32528.5,32.5,12069.0
PDP,331384,4.79,0.51,1.73,0.29,0.104,694.0,321.0,141.0,569.0,53.0,29.0,12.0,42.0,28078.0,65.0,28286.0
PDP,208033,4.75,0.5,1.67,0.28,0.103,675.0,293.0,135.0,586.0,53.0,27.0,11.0,43.0,30451.0,62.0,30745.0
PDP,444952,4.75,0.675,3.765,0.28,0.7494999999999999,384.5,1144.0,85.0,179.0,20.5,39.5,4.5,16.0,26898.5,34.5,11437.5
PDP,138927,4.66,0.54,1.77,0.28,0.104,694.0,286.0,136.0,660.0,52.0,25.0,11.0,45.0,26888.0,57.0,27205.0
PDP,154974,3.75,0.66,4.55,0.37,1.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21059.0,0.0,0.0
PDP,160658,3.71,0.68,4.46,0.36,1.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24110.0,0.0,0.0
PDP,245422,3.79,0.65,4.47,0.34,1.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24309.0,0.0,0.0
PDP,947316,4.4,0.655,3.9349999999999996,0.31,0.775,372.5,1238.5,81.0,163.5,20.0,40.0,4.5,14.5,27804.0,43.0,14807.0
PDP,140983,4.51,0.5,1.78,0.3,0.108,717.0,366.0,137.0,556.0,53.0,32.0,11.0,40.0,31847.0,76.0,32052.0
PDP,172862,4.5,0.51,1.71,0.33,0.104,658.0,309.0,203.0,592.0,51.0,27.0,16.0,43.0,33417.0,83.0,33731.0
PDP,198710,4.1,0.47,1.75,0.3,0.108,687.0,331.0,146.0,643.0,51.0,29.0,12.0,45.0,17033.0,96.0,18168.0
PDP,2478176,4.74,0.63,4.12,0.33999999999999997,0.804,376.0,1390.0,82.5,148.5,18.5,41.0,4.0,13.5,32879.5,45.5,14005.5
PDP,291546,4.65,0.47,1.74,0.31,0.108,667.0,351.0,145.0,574.0,51.0,30.0,12.0,42.0,35595.0,78.0,35984.0
PDP,222303,4.55,0.51,1.67,0.3,0.101,678.0,328.0,171.0,519.0,53.0,29.0,14.0,39.0,34844.0,75.0,35167.0
PDP,145611,3.75,0.65,4.08,0.28,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22347.0,0.0,0.0
PDP,286907,2.93,0.58,4.28,0.31,1.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12331.0,0.0,0.0
PDP,380853,4.18,0.48,1.7,0.28,0.108,669.0,335.0,139.0,610.0,51.0,29.0,11.0,44.0,17192.0,82.0,18362.0
PDP,156262,4.09,0.53,1.66,0.26,0.105,672.0,304.0,169.0,582.0,52.0,27.0,14.0,43.0,18802.0,65.0,19030.0
PDP,2956452,4.64,0.6299999999999999,4.07,0.325,0.8215,371.5,1391.0,81.0,128.0,17.5,41.0,4.0,12.5,32491.0,44.0,13413.5
PDP,213893,4.61,0.47,1.75,0.3,0.108,683.0,372.0,132.0,536.0,52.0,33.0,11.0,40.0,35765.0,78.0,35027.0
PDP,261348,4.66,0.51,1.66,0.3,0.102,663.0,321.0,151.0,556.0,52.0,29.0,13.0,41.0,40076.0,73.0,40407.0
PDP,129176,4.55,0.72,3.81,0.22,0.134,752.0,2771.0,183.0,192.0,31.0,82.0,7.0,21.0,17304.0,76.0,19590.0
PDP,198650,3.72,0.64,4.04,0.27,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36374.0,0.0,0.0
PDP,396291,2.99,0.57,4.16,0.29,1.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9206.0,0.0,0.0
PDP,338461,4.18,0.47,1.7,0.27,0.11,667.0,318.0,136.0,626.0,51.0,28.0,11.0,45.0,16510.0,87.0,17932.0
PDP,127281,4.02,0.54,1.66,0.24,0.105,686.0,301.0,162.0,572.0,53.0,27.0,14.0,42.0,16873.0,65.0,17088.0
PDP,130975,5.53,0.7,4.34,0.3,0.11,771.0,3212.0,195.0,182.0,31.0,84.0,8.0,18.0,26252.0,89.0,23638.0
PDP,149678,4.26,0.64,4.41,0.3,1.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67269.0,0.0,0.0
STATIC,177741,9.93,0.64,4.19,0.83,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,41122,3.66,0.99,2.37,0.32,0.198,1080.0,221.0,549.0,608.0,56.0,13.0,29.0,37.0,42213.0,61.0,42598.0
STATIC,35624,3.94,0.99,2.31,0.18,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,29640,3.5,0.97,2.79,0.18,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,72342,3.44,0.93,2.79,0.18,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,91419,4.24,0.965,2.26,0.32999999999999996,0.194,536.0,103.5,262.0,302.0,28.5,6.5,14.0,18.5,53865.0,32.0,22338.0
STATIC,18734,3.57,0.65,6.77,0.26,0.602,637.0,5360.0,253.0,5366.0,20.0,93.0,11.0,96.0,59771.0,114.0,58738.0
STATIC,38571,4.44,0.58,4.15,0.18,0.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,167002,10.35,1.04,2.63,0.16499999999999998,0.185,597.0,107.0,231.5,407.5,29.0,6.5,11.5,21.5,14984.5,31.5,14871.5
STATIC,45503,6.96,0.87,2.67,0.22,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
