Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-08-01 00:00,"4,250,900",5.57,6.01,2.45,4.61,2.69,2.88,0.85,0.00,0.00,4.29,0.00,0.00,0.00,"168,599",0.312,1.81,0.531
2024-08-02 00:00,"4,931,562",5.54,6.03,2.39,4.52,2.69,2.88,0.84,0.00,0.00,4.29,0.00,0.00,0.00,"280,534",0.320,1.99,0.539
2024-08-03 00:00,"5,323,067",5.37,5.91,2.31,4.42,2.63,2.81,0.82,0.00,0.00,4.16,0.00,0.00,0.00,"280,948",0.312,1.95,0.543
2024-08-04 00:00,"5,198,399",5.29,5.83,2.34,4.41,2.60,2.78,0.84,0.00,0.00,4.04,0.00,0.00,0.00,"291,252",0.304,1.81,0.547
2024-08-05 00:00,"4,104,255",5.54,5.86,2.44,4.66,2.62,2.81,0.96,0.00,0.00,4.22,0.00,0.00,0.00,"170,833",0.296,1.63,0.447
2024-08-06 00:00,"4,072,423",5.58,5.79,2.26,4.38,2.50,2.67,0.87,0.00,0.00,4.43,0.00,0.00,0.00,"172,661",0.280,1.75,0.517
2024-08-07 00:00,"4,076,825",5.53,5.79,2.24,4.35,2.50,2.67,0.85,0.00,0.00,4.39,0.00,0.00,0.00,"171,022",0.280,1.78,0.513
2024-08-08 00:00,"4,071,682",5.68,5.88,2.25,4.26,2.57,2.75,0.84,0.00,0.00,4.41,0.00,0.00,0.00,"186,804",0.264,1.68,0.548
2024-08-09 00:00,"4,685,503",5.75,5.99,2.18,4.11,2.67,2.85,0.81,0.00,0.00,4.42,0.00,0.00,0.00,"407,193",0.264,1.86,0.563
2024-08-10 00:00,"5,331,060",5.58,5.84,2.08,4.00,2.58,2.76,0.79,0.00,0.00,4.30,0.00,0.00,0.00,"346,415",0.264,1.78,0.556
2024-08-11 00:00,"5,236,471",5.50,5.76,2.09,3.97,2.52,2.71,0.79,0.00,0.00,4.23,0.00,0.00,0.00,"286,710",0.248,1.64,0.553
2024-08-12 00:00,"4,070,409",5.70,5.86,2.21,4.16,2.60,2.79,0.82,0.00,0.00,4.35,0.00,0.00,0.00,"84,630",0.256,1.64,0.555
2024-08-13 00:00,"3,879,447",5.73,5.90,2.29,4.23,2.62,2.81,0.85,0.00,0.00,4.36,0.00,0.00,0.00,"74,199",0.256,1.61,0.563
2024-08-14 00:00,"3,936,556",5.80,5.99,2.27,4.21,2.71,2.90,0.86,0.00,0.00,4.37,0.00,0.00,0.00,"55,764",0.256,1.67,0.566
2024-08-15 00:00,"4,174,299",5.98,6.10,2.29,4.28,2.79,2.98,0.83,0.00,0.00,4.54,0.00,0.00,0.00,"55,710",0.264,1.72,0.545
2024-08-16 00:00,"4,468,141",5.92,6.10,2.24,4.20,2.75,2.95,0.84,0.00,0.00,4.51,0.00,0.00,0.00,"61,339",0.256,1.78,0.571
2024-08-17 00:00,"5,442,903",5.68,5.89,2.12,4.06,2.60,2.80,0.79,0.00,0.00,4.36,0.00,0.00,0.00,"76,996",0.256,1.73,0.569
2024-08-18 00:00,"5,524,718",5.59,5.84,2.10,3.98,2.56,2.76,0.78,0.00,0.00,4.27,0.00,0.00,0.00,"74,524",0.248,1.64,0.558
2024-08-19 00:00,"3,940,043",6.40,6.45,2.53,4.63,3.00,3.22,0.93,0.00,0.00,4.82,0.00,0.00,0.00,"55,413",0.248,1.56,0.559
2024-08-20 00:00,"3,710,168",7.75,7.46,3.33,5.56,3.80,4.08,1.06,0.00,0.00,5.88,0.00,0.00,0.00,"56,359",0.280,1.51,0.545
2024-08-21 00:00,"3,685,910",7.31,7.11,3.20,5.37,3.54,3.79,1.06,0.00,0.00,5.48,0.00,0.00,0.00,"54,838",0.288,1.54,0.559
2024-08-22 00:00,"3,756,008",6.49,6.56,2.95,5.03,3.12,3.35,0.97,0.00,0.00,4.81,0.00,0.00,0.00,"57,295",0.280,1.59,0.567
