Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-11-01 00:00,"2,728,735",5.64,6.08,2.59,3.86,2.73,3.07,0.53,0.00,0.00,3.76,0.00,0.00,0.00,212,0.272,1.01,0.349
2024-11-02 00:00,"3,616,869",5.52,6.02,2.47,3.73,2.65,3.00,0.52,0.00,0.00,3.68,0.00,0.00,0.00,54,0.272,1.00,0.340
2024-11-03 00:00,"3,775,632",5.46,5.97,2.44,3.68,2.56,2.89,0.51,0.00,0.00,3.69,0.00,0.00,0.00,25,0.272,1.01,0.352
2024-11-04 00:00,"3,149,197",5.55,6.05,2.46,3.83,2.60,2.94,0.51,0.00,0.00,3.70,0.00,0.00,0.00,26,0.280,1.06,0.347
2024-11-05 00:00,"2,989,628",5.62,6.05,2.57,3.95,2.63,2.97,0.51,0.00,0.00,3.72,0.00,0.00,0.00,12,0.280,1.07,0.349
2024-11-06 00:00,"2,647,272",5.70,6.08,2.56,3.91,2.65,2.98,0.52,0.00,0.00,3.85,0.00,0.00,0.00,32,0.271,1.07,0.349
2024-11-07 00:00,"3,155,139",5.56,6.04,2.54,3.90,2.66,2.99,0.53,0.00,0.00,3.70,0.00,0.00,0.00,7,0.264,1.05,0.344
2024-11-08 00:00,"2,984,670",5.55,6.01,2.49,3.86,2.63,2.97,0.53,0.00,0.00,3.71,0.00,0.00,0.00,6,0.264,1.03,0.343
2024-11-09 00:00,"3,849,723",5.43,5.95,2.48,3.81,2.57,2.90,0.53,0.00,0.00,3.63,0.00,0.00,0.00,13,0.257,1.02,0.338
2024-11-10 00:00,"4,237,356",5.26,5.80,2.35,3.72,2.45,2.77,0.51,0.00,0.00,3.54,0.00,0.00,0.00,9,0.256,1.02,0.338
2024-11-11 00:00,"3,398,322",5.59,6.02,2.55,3.85,2.62,2.96,0.54,0.00,0.00,3.78,0.00,0.00,0.00,3,0.256,1.05,0.290
2024-11-12 00:00,"3,102,630",5.70,6.10,2.55,3.86,2.69,3.02,0.53,0.00,0.00,3.84,0.00,0.00,0.00,6,0.251,1.07,0.266
2024-11-13 00:00,"3,714,217",5.83,6.17,2.66,3.88,2.85,3.20,0.53,0.00,0.00,3.79,0.00,0.00,0.00,"15,856",0.249,1.07,0.230
2024-11-14 00:00,"3,202,479",6.09,6.39,2.92,4.11,3.03,3.37,0.56,0.00,0.00,3.90,0.00,0.00,0.00,"35,563",0.249,1.09,0.232
2024-11-15 00:00,"3,479,692",5.89,6.20,2.62,3.88,2.89,3.23,0.54,0.00,0.00,3.81,0.00,0.00,0.00,"41,792",0.256,1.09,0.225
2024-11-16 00:00,"3,953,320",5.86,6.18,2.72,3.92,2.85,3.18,0.55,0.00,0.00,3.79,0.00,0.00,0.00,"45,137",0.240,1.07,0.247
2024-11-17 00:00,"4,501,493",5.59,5.95,2.54,3.86,2.66,2.98,0.53,0.00,0.00,3.67,0.00,0.00,0.00,"49,764",0.234,1.07,0.251
2024-11-18 00:00,"3,269,975",6.00,6.33,2.80,4.03,2.89,3.23,0.54,0.00,0.00,3.91,0.00,0.00,0.00,"36,586",0.248,1.10,0.208
2024-11-19 00:00,"3,619,131",5.97,6.38,2.70,3.99,2.89,3.25,0.54,0.00,0.00,3.90,0.00,0.00,0.00,"39,220",0.250,1.12,0.191
2024-11-20 00:00,"3,691,846",5.93,6.34,2.70,3.98,2.87,3.22,0.53,0.00,0.00,3.84,0.00,0.00,0.00,"41,837",0.256,1.11,0.194
2024-11-21 00:00,"3,632,151",6.00,6.48,2.86,4.09,2.93,3.28,0.55,0.00,0.00,3.89,0.00,0.00,0.00,"69,063",0.248,1.10,0.197
2024-11-22 00:00,"3,992,261",5.83,6.29,2.72,3.95,2.87,3.21,0.55,0.00,0.00,3.81,0.00,0.00,0.00,"52,629",0.248,1.08,0.195
2024-11-23 00:00,"4,648,704",5.68,6.21,2.61,3.90,2.77,3.10,0.55,0.00,0.00,3.67,0.00,0.00,0.00,"68,227",0.240,1.07,0.195
2024-11-24 00:00,"5,374,781",5.51,6.06,2.50,3.78,2.66,3.00,0.55,0.00,0.00,3.57,0.00,0.00,0.00,"75,959",0.240,1.07,0.192
2024-11-25 00:00,"4,548,465",5.79,6.15,2.66,3.89,2.78,3.13,0.57,0.00,0.00,3.85,0.00,0.00,0.00,"68,807",0.256,1.11,0.195
2024-11-26 00:00,"4,290,994",5.97,6.29,2.75,3.94,2.84,3.19,0.58,0.00,0.00,3.97,0.00,0.00,0.00,"997,554",0.256,1.12,0.196
2024-11-27 00:00,"4,667,410",5.90,6.26,2.69,3.89,2.81,3.15,0.59,0.00,0.00,3.94,0.00,0.00,0.00,"1,782,392",0.248,1.11,0.192
2024-11-28 00:00,"6,404,751",5.68,6.11,2.52,3.72,2.71,3.07,0.60,0.00,0.00,3.78,0.00,0.00,0.00,"2,380,325",0.248,1.11,0.194
2024-11-29 00:00,"12,229,003",5.45,5.94,2.40,3.69,2.63,2.95,0.65,0.00,0.00,3.69,0.00,0.00,0.00,"4,115,618",0.240,1.08,0.184
2024-11-30 00:00,"7,850,989",5.55,6.04,2.39,3.69,2.62,2.96,0.62,0.00,0.00,3.70,0.00,0.00,0.00,"2,638,375",0.240,1.08,0.187
2024-12-01 00:00,"7,359,681",5.59,6.06,2.48,3.73,2.65,2.99,0.64,0.00,0.00,3.73,0.00,0.00,0.00,"2,524,377",0.240,1.08,0.187
2024-12-02 00:00,"7,440,224",5.37,5.77,2.55,3.87,2.53,2.85,0.64,0.00,0.00,3.65,0.00,0.00,0.00,"2,795,548",0.240,1.07,0.211
2024-12-03 00:00,"5,299,277",5.51,5.97,2.56,3.87,2.61,2.93,0.62,0.00,0.00,3.69,0.00,0.00,0.00,"2,084,374",0.248,1.09,0.192
2024-12-04 00:00,"5,485,688",5.56,5.99,2.51,3.81,2.61,2.94,0.60,0.00,0.00,3.72,0.00,0.00,0.00,"2,136,319",0.256,1.11,0.195
2024-12-05 00:00,"5,205,593",5.68,6.12,2.60,3.87,2.67,3.00,0.62,0.00,0.00,3.80,0.00,0.00,0.00,"766,813",0.248,1.12,0.191
2024-12-06 00:00,"5,629,508",5.67,6.13,2.51,3.79,2.65,2.99,0.64,0.00,0.00,3.81,0.00,0.00,0.00,"89,011",0.248,1.11,0.192
2024-12-07 00:00,"6,896,828",5.45,5.91,2.35,3.68,2.52,2.85,0.63,0.00,0.00,3.65,0.00,0.00,0.00,"102,279",0.240,1.09,0.195
2024-12-08 00:00,"6,893,333",5.46,5.96,2.39,3.67,2.50,2.83,0.61,0.00,0.00,3.69,0.00,0.00,0.00,"104,372",0.240,1.09,0.215
2024-12-09 00:00,"5,857,384",5.73,6.09,2.55,3.87,2.67,3.00,0.64,0.00,0.00,3.87,0.00,0.00,0.00,"94,986",0.248,1.12,0.220
2024-12-10 00:00,"5,565,874",5.71,6.19,2.59,3.88,2.71,3.05,0.64,0.00,0.00,3.82,0.00,0.00,0.00,"81,478",0.248,1.12,0.200
