Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-02-01 00:00,"4,179,864",5.15,5.50,2.25,4.68,2.44,2.54,0.63,0.00,0.00,4.20,0.00,0.00,0.00,"79,264",0.352,2.51,1.583
2024-02-02 00:00,"3,334,748",5.11,5.95,2.29,4.68,2.39,2.49,0.66,0.00,0.00,4.16,0.00,0.00,0.00,"65,776",0.352,2.34,1.537
2024-02-03 00:00,"4,333,827",4.88,5.78,2.19,4.51,2.32,2.42,0.64,0.00,0.00,3.99,0.00,0.00,0.00,"89,304",0.352,2.33,1.523
2024-02-04 00:00,"4,097,561",4.84,5.71,2.23,4.55,2.27,2.37,0.64,0.00,0.00,3.93,0.00,0.00,0.00,"79,778",0.336,2.17,1.526
2024-02-05 00:00,"2,939,621",5.09,5.84,2.33,4.72,2.36,2.47,0.68,0.00,0.00,4.12,0.00,0.00,0.00,"55,380",0.336,2.13,1.480
2024-02-06 00:00,"2,833,647",5.03,5.83,2.34,4.75,2.35,2.46,0.68,0.00,0.00,4.06,0.00,0.00,0.00,"55,898",0.336,2.12,1.459
2024-02-07 00:00,"2,880,798",5.09,5.89,2.36,4.75,2.40,2.50,0.68,0.00,0.00,4.11,0.00,0.00,0.00,"54,875",0.336,2.13,1.457
2024-02-08 00:00,"2,999,162",5.04,5.84,2.38,4.75,2.39,2.50,0.69,0.00,0.00,4.04,0.00,0.00,0.00,"53,497",0.336,2.12,1.451
2024-02-09 00:00,"3,369,397",5.19,5.97,2.29,4.66,2.46,2.57,0.67,0.00,0.00,4.21,0.00,0.00,0.00,"68,804",0.344,2.35,1.472
2024-02-10 00:00,"4,423,534",5.03,5.79,2.19,4.52,2.39,2.49,0.63,0.00,0.00,4.11,0.00,0.00,0.00,"83,328",0.344,2.35,1.458
2024-02-11 00:00,"3,573,085",4.93,5.69,2.26,4.57,2.34,2.44,0.65,0.00,0.00,3.98,0.00,0.00,0.00,"69,852",0.336,2.20,1.426
2024-02-12 00:00,"2,777,832",5.16,5.83,2.38,4.74,2.42,2.52,0.69,0.00,0.00,4.17,0.00,0.00,0.00,"50,308",0.328,2.19,1.448
2024-02-13 00:00,"2,951,151",5.15,5.87,2.43,4.86,2.48,2.58,0.77,0.00,0.00,4.09,0.00,0.00,0.00,"43,523",0.328,2.20,1.465
2024-02-14 00:00,"2,684,509",5.28,6.02,2.48,4.93,2.55,2.66,0.83,0.00,0.00,4.16,0.00,0.00,0.00,"39,608",0.328,2.19,1.480
2024-02-15 00:00,"3,774,192",5.14,5.83,2.31,4.63,2.51,2.60,0.75,0.00,0.00,4.03,0.00,0.00,0.00,"50,018",0.320,2.11,1.442
2024-02-16 00:00,"3,142,733",5.43,6.08,2.49,4.92,2.61,2.72,0.83,0.00,0.00,4.29,0.00,0.00,0.00,"43,807",0.336,2.23,1.450
2024-02-17 00:00,"4,193,563",5.15,5.84,2.39,4.72,2.47,2.57,0.78,0.00,0.00,4.08,0.00,0.00,0.00,"64,154",0.328,2.08,1.460
2024-02-18 00:00,"4,561,268",5.24,6.07,2.33,4.70,2.51,2.61,0.77,0.00,0.00,4.19,0.00,0.00,0.00,"60,562",0.336,2.36,1.498
2024-02-19 00:00,"4,111,181",5.37,6.11,2.36,4.78,2.56,2.66,0.78,0.00,0.00,4.30,0.00,0.00,0.00,"58,106",0.352,2.44,1.499
