Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-06-04 00:00,"4,295,309",5.22,6.06,2.33,4.60,2.48,2.61,0.86,0.00,0.00,3.98,0.00,0.00,0.00,"57,626",0.280,1.67,1.136
2024-06-05 00:00,"4,028,854",5.25,6.04,2.33,4.60,2.47,2.60,0.87,0.00,0.00,4.02,0.00,0.00,0.00,"179,859",0.272,1.66,1.130
2024-06-06 00:00,"4,375,802",5.41,6.20,2.36,4.62,2.59,2.70,0.86,0.00,0.00,4.21,0.00,0.00,0.00,"60,491",0.288,1.98,1.152
2024-06-07 00:00,"3,797,189",5.33,5.99,2.36,4.54,2.52,2.63,0.86,0.00,0.00,4.16,0.00,0.00,0.00,"52,419",0.272,1.70,1.108
2024-06-08 00:00,"4,324,180",5.10,5.79,2.28,4.45,2.42,2.53,0.83,0.00,0.00,3.97,0.00,0.00,0.00,"61,223",0.264,1.61,1.086
2024-06-09 00:00,"4,483,134",5.09,5.85,2.27,4.40,2.40,2.52,0.82,0.00,0.00,3.97,0.00,0.00,0.00,"58,459",0.272,1.65,1.126
2024-06-10 00:00,"3,806,425",5.24,5.94,2.37,4.61,2.47,2.59,0.89,0.00,0.00,4.04,0.00,0.00,0.00,"52,145",0.280,1.60,1.099
2024-06-11 00:00,"4,147,667",5.21,5.87,2.32,4.64,2.45,2.58,0.89,0.00,0.00,4.00,0.00,0.00,0.00,"68,279",0.272,1.56,1.063
2024-06-12 00:00,"3,923,660",5.16,5.80,2.31,4.67,2.40,2.55,0.89,0.00,0.00,3.95,0.00,0.00,0.00,"60,339",0.272,1.52,1.011
2024-06-13 00:00,"3,888,250",5.25,5.85,2.35,4.66,2.44,2.58,0.90,0.00,0.00,4.02,0.00,0.00,0.00,"61,897",0.280,1.49,1.005
2024-06-14 00:00,"4,225,628",5.27,5.91,2.36,4.61,2.49,2.63,0.90,0.00,0.00,4.02,0.00,0.00,0.00,"62,282",0.280,1.49,1.000
2024-06-15 00:00,"4,584,087",5.17,5.82,2.30,4.50,2.42,2.56,0.89,0.00,0.00,3.95,0.00,0.00,0.00,"68,892",0.272,1.44,1.005
2024-06-16 00:00,"4,520,764",5.09,5.78,2.25,4.43,2.37,2.51,0.87,0.00,0.00,3.89,0.00,0.00,0.00,"67,445",0.264,1.42,1.029
2024-06-17 00:00,"3,638,018",5.16,5.85,2.34,4.62,2.43,2.57,0.91,0.00,0.00,3.93,0.00,0.00,0.00,"54,210",0.272,1.48,1.016
2024-06-18 00:00,"3,679,528",5.18,5.88,2.34,4.62,2.44,2.58,0.91,0.00,0.00,3.94,0.00,0.00,0.00,"56,038",0.272,1.50,1.009
2024-06-19 00:00,"3,893,283",5.17,5.89,2.31,4.60,2.42,2.61,0.90,0.00,0.00,3.95,0.00,0.00,0.00,"73,995",0.288,1.53,1.017
2024-06-20 00:00,"3,486,513",5.29,5.92,2.36,4.69,2.46,2.70,0.93,0.00,0.00,4.03,0.00,0.00,0.00,"83,153",0.304,1.54,1.018
2024-06-21 00:00,"3,739,719",5.33,5.95,2.35,4.67,2.47,2.70,0.92,0.00,0.00,4.06,0.00,0.00,0.00,"80,457",0.312,1.62,1.025
2024-06-22 00:00,"4,092,560",5.21,5.91,2.28,4.59,2.41,2.64,0.90,0.00,0.00,3.98,0.00,0.00,0.00,"91,041",0.304,1.59,1.044
2024-06-23 00:00,"4,368,479",5.09,5.84,2.23,4.53,2.36,2.58,0.87,0.00,0.00,3.90,0.00,0.00,0.00,"93,270",0.304,1.58,1.070
2024-06-24 00:00,"3,401,068",5.33,6.10,2.64,5.27,2.73,2.96,0.94,0.00,0.00,3.79,0.00,0.00,0.00,"76,879",0.312,1.56,1.132
2024-06-25 00:00,"3,317,725",5.45,6.23,2.81,5.48,2.94,3.15,0.91,0.00,0.00,3.88,0.00,0.00,0.00,"70,011",0.320,1.69,1.158
2024-06-26 00:00,"3,491,858",5.54,6.34,2.73,5.40,3.06,3.25,0.87,0.00,0.00,4.03,0.00,0.00,0.00,"77,592",0.320,1.85,1.161
2024-06-27 00:00,"3,249,707",5.47,6.26,2.72,5.36,2.98,3.17,0.87,0.00,0.00,3.99,0.00,0.00,0.00,"70,672",0.320,1.78,1.160
2024-06-28 00:00,"3,456,547",5.48,6.25,2.66,5.29,2.96,3.16,0.86,0.00,0.00,4.01,0.00,0.00,0.00,"73,056",0.320,1.81,1.172
2024-06-29 00:00,"4,076,523",5.46,6.27,2.54,5.10,2.94,3.13,0.83,0.00,0.00,4.02,0.00,0.00,0.00,"84,530",0.320,1.84,1.171
2024-06-30 00:00,"4,169,577",5.37,6.18,2.50,5.06,2.85,3.04,0.82,0.00,0.00,3.95,0.00,0.00,0.00,"88,153",0.320,1.83,1.179
2024-07-01 00:00,"3,492,016",5.58,6.30,2.64,5.31,3.01,3.19,0.87,0.00,0.00,4.09,0.00,0.00,0.00,"75,761",0.328,1.84,1.197
2024-07-02 00:00,"3,950,608",5.61,6.40,2.63,5.32,3.05,3.24,0.87,0.00,0.00,4.11,0.00,0.00,0.00,"92,751",0.336,1.96,1.189
2024-07-03 00:00,"3,879,181",5.60,6.43,2.66,5.38,3.09,3.28,0.89,0.00,0.00,4.06,0.00,0.00,0.00,"83,923",0.336,1.94,1.220
2024-07-04 00:00,"3,892,734",5.55,6.50,2.56,5.22,3.04,3.24,0.85,0.00,0.00,4.06,0.00,0.00,0.00,"86,174",0.336,1.97,1.236
2024-07-05 00:00,"3,898,894",5.53,6.38,2.62,5.29,3.04,3.23,0.87,0.00,0.00,4.00,0.00,0.00,0.00,"93,667",0.328,1.82,1.217
