performance_score,Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DOM Duration (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift,fcp_category,interaction_lcp_tbt
42,2024-02-01 00:00,0.3666852414301458,-1.1063770830220772,-2.747796843660791,-1.2283139842422321,0.42589004768488253,-1.2234956031917246,-1.4262194478688417,-1.0600592176201116,0.5987059249232646,79264,1.8424092790398163,2.122710407253805,1.8396751966547074,needs_improvement,11.746799999999999
42,2024-02-02 00:00,-0.4408058790804547,-1.2308668262811906,-0.5362930313517047,-1.0215708624980806,0.42589004768488253,-1.4985904494677837,-1.6396275909268931,-0.8814578640913584,0.4714178804725442,65776,1.8424092790398163,1.730353917623564,1.7404499251122925,needs_improvement,10.951199999999998
42,2024-02-03 00:00,0.5137937512526715,-1.946682850021094,-1.3717500271129146,-1.5384286668584592,0.05166495565051694,-1.8837232342542696,-1.9383989912081676,-1.000525433110527,-0.0695563084430166,89304,1.8424092790398163,1.7072741241159033,1.7102509294254704,needs_improvement,10.5083
42,2024-02-04 00:00,0.28804640168343176,-2.0711725932802074,-1.7157617312498847,-1.331685545114308,0.1397179184821325,-2.1588180805303288,-2.1518071342662193,-1.000525433110527,-0.2604883751190971,79778,1.414251465711623,1.3379974279933229,1.7167221427869326,needs_improvement,9.8735
42,2024-02-05 00:00,-0.8183416776856072,-1.2931116979107489,-1.0768828521383718,-0.8148277407539293,0.513943010516498,-1.6636473572334212,-1.7249908481501142,-0.7623902950721897,0.34412983602182384,55380,1.414251465711623,1.2456782539626778,1.6174968712445175,needs_improvement,10.0536
42,2024-02-06 00:00,-0.9195976756846871,-1.4798463127994177,-1.1260273813007948,-0.7631419603178925,0.5799827326402103,-1.718666326488632,-1.7676724767617256,-0.7623902950721897,0.1531977693457419,55898,1.414251465711623,1.222598460455017,1.5721983777142847,needs_improvement,10.07
42,2024-02-07 00:00,-0.8745458557887257,-1.2931116979107489,-0.831160206326252,-0.6597703994458168,0.5799827326402103,-1.4435714802125728,-1.5969459623152837,-0.7623902950721897,0.3123078249091445,54875,1.414251465711623,1.2456782539626778,1.5678842354733102,needs_improvement,10.1175
42,2024-02-08 00:00,-0.7614514652102528,-1.44872387698464,-1.0768828521383718,-0.5563988385737411,0.5799827326402103,-1.4985904494677837,-1.5969459623152837,-0.702856510562606,0.08955374712038314,53497,1.414251465711623,1.222598460455017,1.5549418087503866,needs_improvement,10.07
42,2024-02-09 00:00,-0.40769946548211816,-0.9818873397629637,-0.43800397302685856,-1.0215708624980806,0.38186356626907575,-1.1134576646813004,-1.298174562034011,-0.821924079581774,0.6305279360359439,68804,1.628330372375719,1.7534337111312257,1.6002403022806193,needs_improvement,10.951
42,2024-02-10 00:00,0.5995069621582092,-1.4798463127994177,-1.3226054979504915,-1.5384286668584592,0.07367819635842034,-1.4985904494677837,-1.6396275909268931,-1.0600592176201116,0.3123078249091445,83328,1.628330372375719,1.7534337111312257,1.5700413065937973,needs_improvement,10.622
42,2024-02-11 00:00,-0.2130797312035538,-1.7910706709472028,-1.8140507895747309,-1.1766282038061955,0.18374439989794122,-1.7736852957438454,-1.8530357339849466,-0.9409916486009428,-0.1013783195556974,69852,1.414251465711623,1.4072368085163074,1.5010150307382042,needs_improvement,10.054000000000002
42,2024-02-12 00:00,-0.97292777106958,-1.0752546472072995,-1.1260273813007948,-0.5563988385737411,0.5579694919323068,-1.3335335417021488,-1.5115827050920627,-0.702856510562606,0.5032398915852236,50308,1.2001725590475256,1.3841570150086455,1.5484705953889244,needs_improvement,10.3806
42,2024-02-13 00:00,-0.807324997585494,-1.1063770830220772,-0.9294492646510981,-0.2979699363935507,0.8221283804271534,-1.0034197261708762,-1.2554929334223996,-0.22658623448593126,0.24866380268378288,43523,1.2001725590475256,1.4072368085163074,1.5851408044372084,needs_improvement,10.692000000000002
42,2024-02-14 00:00,-1.0620959963066017,-0.701785417429959,-0.19228132721473884,-0.03954103421336253,0.9762210653824792,-0.6182869413843928,-0.9140399045295158,0.13061647257157416,0.4714178804725442,39608,1.2001725590475256,1.3841570150086455,1.6174968712445175,needs_improvement,10.7967
42,2024-02-15 00:00,-0.020926089842456235,-1.1374995188368577,-1.1260273813007948,-0.9181993016260049,0.3158238441453636,-0.8383628184052412,-1.1701296761991786,-0.34565380350509994,0.05773173600770375,50018,0.9860936523834283,1.1995186669473554,1.5355281686660007,needs_improvement,9.7693
41,2024-02-16 00:00,-0.624272299672235,-0.23494888020828544,0.10258584775980836,0.01214474622267647,0.9542078246745758,-0.2881731258531203,-0.6579501328598528,0.13061647257157416,0.8851040249373846,43807,1.414251465711623,1.4764761890392906,1.5527847376298989,needs_improvement,10.9716
42,2024-02-17 00:00,0.379774356841373,-1.1063770830220772,-1.0768828521383718,-0.5047130581377021,0.513943010516498,-1.058438695426087,-1.298174562034011,-0.1670524499763469,0.2168417915711035,64154,1.2001725590475256,1.130279286424372,1.5743554488347717,needs_improvement,9.8176
42,2024-02-18 00:00,0.7311089931130214,-0.8262751606890725,0.05344131859738529,-0.8148277407539293,0.46991652910069126,-0.8383628184052412,-1.1274480475875692,-0.22658623448593126,0.5668839138105852,60562,1.414251465711623,1.7765135046388865,1.6563241514132885,needs_improvement,11.092
