Page Name,Page Views,Onload (s),First Byte (s),Largest Contentful Paint (s),Interaction to Next Paint (s),Cumulative Layout Shift,LCP Time to First Byte (ms),LCP Resource Load Delay (ms),LCP Resource Load Time (ms),LCP Element Render Delay (ms),LCP Time to First Byte (%),LCP Resource Load Delay (%),LCP Resource Load Time (%),LCP Element Render Delay (%),INP Start (ms),INP Input Delay (ms),INP Next Paint Time (ms)
Category,17298648,3.0650000000000004,0.595,4.48,0.176,0.9455,325.5,1622.0,196.5,86.5,9.5,43.5,5.5,12.5,9604.5,27.5,9853.5
Family,220572235,5.98,0.71,2.6100000000000003,0.552,0.4165,389.0,288.5,117.0,286.0,26.0,25.0,7.5,26.5,17016.0,43.0,9462.5
HOME,114025285,6.1,0.9550000000000001,3.785,0.224,0.21950000000000003,692.5,595.0,192.5,465.0,24.5,23.0,7.5,21.5,20622.5,43.0,8874.5
MyAccount Pages,16259198,3.42,0.59,4.715,0.20800000000000002,1.088,591.5,1460.5,107.0,1588.5,16.0,41.0,4.0,42.5,26051.5,29.5,11519.5
Product,581267241,6.57,1.015,5.285,0.276,0.7989999999999999,1321.0,731.5,136.5,308.5,33.5,22.5,5.5,16.5,33265.5,41.5,14928.5
Search Details,280313355,2.625,0.6950000000000001,3.83,0.36,0.558,348.0,1598.0,81.5,387.5,12.0,42.5,3.0,25.0,16296.5,28.0,9225.5
Shopping Cart,95096594,2.13,0.36,3.87,0.2,1.4755,200.5,152.0,191.5,1387.0,10.5,17.0,21.0,48.5,54785.0,37.0,15933.0
SinglePageCheckout,27841123,1.495,0.39,5.115,0.41600000000000004,0.948,235.0,216.0,121.5,1999.5,8.5,15.5,10.5,48.0,18564.0,34.5,18478.5
Static Page,27543197,5.385,1.0550000000000002,4.3100000000000005,0.22,0.6995,689.0,1209.5,188.0,832.0,25.0,38.0,7.0,32.5,34800.0,25.5,13666.5
